2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:20:17,163 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:18,165 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:18,166 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:19,167 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:19,168 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:20,169 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:20,169 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:21,171 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:21,171 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:22,173 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:22,174 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:23,175 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:23,175 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:24,176 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:24,177 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:25,178 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:25,179 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:26,181 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:26,181 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:27,183 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:27,183 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:28,185 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:28,186 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:29,188 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:29,189 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:30,191 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:30,191 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:31,193 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

