2025-02-11 15:37:11,184 - AVC - Arming Drone
2025-02-17 16:17:35,074 - AVC - Sent From Jetson: [32.9938706, -96.7541367]1
2025-02-17 16:17:35,074 - AVC - ArUco Marker Found At [32.9938706, -96.7541367]
2025-02-17 16:17:36,076 - AVC - Sent From Jetson: [32.9938694, -96.7541309]1
2025-02-17 16:17:36,076 - AVC - ArUco Marker Found At [32.9938694, -96.7541309]
2025-02-17 16:17:37,078 - AVC - Sent From Jetson: [32.9938687, -96.7541134]1
2025-02-17 16:17:37,078 - AVC - ArUco Marker Found At [32.9938687, -96.7541134]
2025-02-17 16:17:38,078 - AVC - Sent From Jetson: [32.9938678, -96.7540925]1
2025-02-17 16:17:38,079 - AVC - ArUco Marker Found At [32.9938678, -96.7540925]
2025-02-17 16:17:39,079 - AVC - Sent From Jetson: [32.9938659, -96.7540693]1
2025-02-17 16:17:39,079 - AVC - ArUco Marker Found At [32.9938659, -96.7540693]
2025-02-17 16:17:40,080 - AVC - Sent From Jetson: [32.9938628, -96.7540433]1
2025-02-17 16:17:40,081 - AVC - ArUco Marker Found At [32.9938628, -96.7540433]
2025-02-17 16:17:41,082 - AVC - Sent From Jetson: [32.9938605, -96.7540171]1
2025-02-17 16:17:41,083 - AVC - ArUco Marker Found At [32.9938605, -96.7540171]
2025-02-17 16:17:42,083 - AVC - Sent From Jetson: [32.9938592, -96.7539922]1
2025-02-17 16:17:42,084 - AVC - ArUco Marker Found At [32.9938592, -96.7539922]
2025-02-17 16:17:43,086 - AVC - Sent From Jetson: [32.9938574, -96.7539682]1
2025-02-17 16:17:43,086 - AVC - ArUco Marker Found At [32.9938574, -96.7539682]
2025-02-17 16:17:44,086 - AVC - Sent From Jetson: [32.9938548, -96.7539444]1
2025-02-17 16:17:44,090 - AVC - ArUco Marker Found At [32.9938548, -96.7539444]
2025-02-17 16:17:45,087 - AVC - Sent From Jetson: [32.9938524, -96.7539206]1
2025-02-17 16:17:45,087 - AVC - ArUco Marker Found At [32.9938524, -96.7539206]
2025-02-17 16:17:46,089 - AVC - Sent From Jetson: [32.9938509, -96.7538963]1
2025-02-17 16:17:46,089 - AVC - ArUco Marker Found At [32.9938509, -96.7538963]
2025-02-17 16:17:47,089 - AVC - Sent From Jetson: [32.9938501, -96.7538741]1
2025-02-17 16:17:47,090 - AVC - ArUco Marker Found At [32.9938501, -96.7538741]
2025-02-17 16:17:48,091 - AVC - Sent From Jetson: [32.9938525, -96.753866]1
2025-02-17 16:17:48,091 - AVC - ArUco Marker Found At [32.9938525, -96.753866]
2025-02-17 16:17:49,094 - AVC - Sent From Jetson: [32.9938576, -96.7538738]1
2025-02-17 16:17:49,094 - AVC - ArUco Marker Found At [32.9938576, -96.7538738]
2025-02-17 16:17:50,093 - AVC - Sent From Jetson: [32.9938621, -96.7538824]1
2025-02-17 16:17:50,094 - AVC - ArUco Marker Found At [32.9938621, -96.7538824]
2025-02-17 16:17:51,095 - AVC - Sent From Jetson: [32.9938643, -96.7538869]1
2025-02-17 16:17:51,096 - AVC - ArUco Marker Found At [32.9938643, -96.7538869]
2025-02-17 16:17:52,097 - AVC - Sent From Jetson: [32.9938561, -96.7538914]1
2025-02-17 16:17:52,097 - AVC - ArUco Marker Found At [32.9938561, -96.7538914]
2025-02-17 16:17:53,099 - AVC - Sent From Jetson: [32.9938446, -96.753894]1
2025-02-17 16:17:53,099 - AVC - ArUco Marker Found At [32.9938446, -96.753894]
2025-02-17 16:17:54,100 - AVC - Sent From Jetson: [32.9938381, -96.7538917]1
2025-02-17 16:17:54,100 - AVC - ArUco Marker Found At [32.9938381, -96.7538917]
2025-02-17 16:17:55,101 - AVC - Sent From Jetson: [32.9938367, -96.7538795]1
2025-02-17 16:17:55,102 - AVC - ArUco Marker Found At [32.9938367, -96.7538795]
2025-02-17 16:17:56,103 - AVC - Sent From Jetson: [32.9938356, -96.7538638]1
2025-02-17 16:17:56,104 - AVC - ArUco Marker Found At [32.9938356, -96.7538638]
2025-02-17 16:17:57,104 - AVC - Sent From Jetson: [32.9938339, -96.753849]1
2025-02-17 16:17:57,105 - AVC - ArUco Marker Found At [32.9938339, -96.753849]
2025-02-17 16:17:58,105 - AVC - Sent From Jetson: [32.9938333, -96.7538379]1
2025-02-17 16:17:58,106 - AVC - ArUco Marker Found At [32.9938333, -96.7538379]
2025-02-17 16:17:59,110 - AVC - Sent From Jetson: [32.9938333, -96.7538327]1
2025-02-17 16:17:59,117 - AVC - ArUco Marker Found At [32.9938333, -96.7538327]
2025-02-17 16:18:00,108 - AVC - Sent From Jetson: [32.9938328, -96.7538329]1
2025-02-17 16:18:00,108 - AVC - ArUco Marker Found At [32.9938328, -96.7538329]
2025-02-17 16:18:01,109 - AVC - Sent From Jetson: [32.9938326, -96.7538331]1
2025-02-17 16:18:01,110 - AVC - ArUco Marker Found At [32.9938326, -96.7538331]
2025-02-17 16:18:02,116 - AVC - Sent From Jetson: [32.9938324, -96.7538331]1
2025-02-17 16:18:02,117 - AVC - ArUco Marker Found At [32.9938324, -96.7538331]
2025-02-17 16:18:03,112 - AVC - Sent From Jetson: [32.9938322, -96.7538334]1
2025-02-17 16:18:03,113 - AVC - ArUco Marker Found At [32.9938322, -96.7538334]
2025-02-17 16:18:04,113 - AVC - Sent From Jetson: [32.993832, -96.7538332]1
2025-02-17 16:18:04,119 - AVC - ArUco Marker Found At [32.993832, -96.7538332]
2025-02-17 16:18:05,115 - AVC - Sent From Jetson: [32.9938317, -96.7538331]1
2025-02-17 16:18:05,115 - AVC - ArUco Marker Found At [32.9938317, -96.7538331]
2025-02-17 16:18:06,117 - AVC - Sent From Jetson: [32.9938316, -96.7538332]1
2025-02-17 16:18:06,117 - AVC - ArUco Marker Found At [32.9938316, -96.7538332]
2025-02-17 16:18:07,129 - AVC - Sent From Jetson: [32.9938316, -96.7538332]1
2025-02-17 16:18:07,129 - AVC - ArUco Marker Found At [32.9938316, -96.7538332]
2025-02-17 16:18:08,121 - AVC - Sent From Jetson: [32.9938313, -96.7538328]1
2025-02-17 16:18:08,122 - AVC - ArUco Marker Found At [32.9938313, -96.7538328]
2025-02-17 16:18:09,123 - AVC - Sent From Jetson: [32.9938312, -96.7538323]1
2025-02-17 16:18:09,124 - AVC - ArUco Marker Found At [32.9938312, -96.7538323]
2025-02-17 16:18:10,126 - AVC - Sent From Jetson: [32.9938311, -96.7538317]1
2025-02-17 16:18:10,126 - AVC - ArUco Marker Found At [32.9938311, -96.7538317]
2025-02-17 16:18:11,127 - AVC - Sent From Jetson: [32.9938311, -96.7538313]1
2025-02-17 16:18:11,128 - AVC - ArUco Marker Found At [32.9938311, -96.7538313]
2025-02-17 16:18:12,134 - AVC - Sent From Jetson: [32.993831, -96.7538309]1
2025-02-17 16:18:12,135 - AVC - ArUco Marker Found At [32.993831, -96.7538309]
2025-02-17 16:18:13,136 - AVC - Sent From Jetson: [32.993831, -96.7538309]1
2025-02-17 16:18:13,136 - AVC - ArUco Marker Found At [32.993831, -96.7538309]
2025-02-17 16:18:14,137 - AVC - Sent From Jetson: [32.9938308, -96.7538309]1
2025-02-17 16:18:14,137 - AVC - ArUco Marker Found At [32.9938308, -96.7538309]
2025-02-17 16:18:15,138 - AVC - Sent From Jetson: [32.9938308, -96.7538309]1
2025-02-17 16:18:15,139 - AVC - ArUco Marker Found At [32.9938308, -96.7538309]
2025-02-17 16:18:16,157 - AVC - Sent From Jetson: [32.9938306, -96.7538309]1
2025-02-17 16:18:16,157 - AVC - ArUco Marker Found At [32.9938306, -96.7538309]
2025-02-17 16:18:17,153 - AVC - Sent From Jetson: [32.9938306, -96.7538309]1
2025-02-17 16:18:17,153 - AVC - ArUco Marker Found At [32.9938306, -96.7538309]
2025-02-17 16:18:18,143 - AVC - Sent From Jetson: [32.9938306, -96.753831]1
2025-02-17 16:18:18,144 - AVC - ArUco Marker Found At [32.9938306, -96.753831]
2025-02-17 16:18:19,148 - AVC - Sent From Jetson: [32.9938306, -96.753831]1
2025-02-17 16:18:19,148 - AVC - ArUco Marker Found At [32.9938306, -96.753831]
2025-02-17 16:18:20,147 - AVC - Sent From Jetson: [32.9938306, -96.7538309]1
2025-02-17 16:18:20,147 - AVC - ArUco Marker Found At [32.9938306, -96.7538309]
2025-02-17 16:18:21,149 - AVC - Sent From Jetson: [32.9938308, -96.7538308]1
2025-02-17 16:18:21,150 - AVC - ArUco Marker Found At [32.9938308, -96.7538308]
2025-02-17 16:18:22,150 - AVC - Sent From Jetson: [32.9938309, -96.7538309]1
2025-02-17 16:18:22,150 - AVC - ArUco Marker Found At [32.9938309, -96.7538309]
2025-02-17 16:18:23,153 - AVC - Sent From Jetson: [32.9938309, -96.7538306]1
2025-02-17 16:18:23,154 - AVC - ArUco Marker Found At [32.9938309, -96.7538306]
2025-02-17 16:18:24,153 - AVC - Sent From Jetson: [32.993831, -96.7538302]1
2025-02-17 16:18:24,153 - AVC - ArUco Marker Found At [32.993831, -96.7538302]
2025-02-17 16:18:25,155 - AVC - Sent From Jetson: [32.993831, -96.75383]1
2025-02-17 16:18:25,155 - AVC - ArUco Marker Found At [32.993831, -96.75383]
2025-02-17 16:18:26,155 - AVC - Sent From Jetson: [32.9938309, -96.7538298]1
2025-02-17 16:18:26,156 - AVC - ArUco Marker Found At [32.9938309, -96.7538298]
2025-02-17 16:18:27,159 - AVC - Sent From Jetson: [32.9938307, -96.7538295]1
2025-02-17 16:18:27,159 - AVC - ArUco Marker Found At [32.9938307, -96.7538295]
2025-02-17 16:18:28,157 - AVC - Sent From Jetson: [32.9938307, -96.7538292]1
2025-02-17 16:18:28,158 - AVC - ArUco Marker Found At [32.9938307, -96.7538292]
2025-02-17 16:18:29,160 - AVC - Sent From Jetson: [32.9938307, -96.7538291]1
2025-02-17 16:18:29,160 - AVC - ArUco Marker Found At [32.9938307, -96.7538291]
2025-02-17 16:18:30,160 - AVC - Sent From Jetson: [32.9938306, -96.753829]1
2025-02-17 16:18:30,161 - AVC - ArUco Marker Found At [32.9938306, -96.753829]
2025-02-17 16:18:31,161 - AVC - Sent From Jetson: [32.9938306, -96.7538289]1
2025-02-17 16:18:31,162 - AVC - ArUco Marker Found At [32.9938306, -96.7538289]
2025-02-17 16:18:32,165 - AVC - Sent From Jetson: [32.9938306, -96.753829]1
2025-02-17 16:18:32,165 - AVC - ArUco Marker Found At [32.9938306, -96.753829]
2025-02-17 16:18:33,165 - AVC - Sent From Jetson: [32.9938306, -96.7538291]1
